Name;"Lead developer";"Investment volume (M EUR)";"Main location";"H2 Production (T/year)";Status;"Funding sources";"Value chain coverage";"Primary energy sources";"H2 Production";"H2 Storage";"H2 Transport";"H2 Distribution";"End use sectors";"Application in mobility";"Application in energy";"Application in industrial use"
"Norddeutsches Reallabor (NRL) - Northern German Living Lab";"CC4E/HAW Hamburg";398.00;Germany;4300;"Under construction";"Private, Public: National";"H2 Production, H2 Transport, H2 Distribution";;"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser";;"Pipeline, Trucking";"HRS 700 bar, HRS 350 bar";"Mobility, Industrial use as feedstock";"Cars, Buses, Trucks, Other";;"Supply to chemical industry (e.g. fertilizer production), Supply to refineries, Supply to other industries"
"Normandy Hydrogen";"Normandy Region";N.A.;France;33000;N.A.;;"H2 Production, H2 Storage, H2 Transport, H2 Distribution";;"Water electrolysis with ALK electrolyser, SMR with CC(U)S";Cylinder;"Pipeline, Trucking";"HRS 700 bar, HRS 350 bar";"Mobility, Industrial use as feedstock";"Cars, Buses, Trucks, Ships";;"Supply to chemical industry (e.g. fertilizer production), Supply to refineries"
"North Adriatic Hydrogen Valley";"The initiative is lead by the Governments of the Republic of Croatia, the Republic of Slovenia and the Autonomous Regione of Friuli Venezia Giulia n Italy with the active participation of the industry and research communites of all three territories.";N.A.;Slovenia;5000;N.A.;N.A.;;;;;;;;;;
Orange.bat;Smartenergy;135.00;Spain;13000;"pre-FID (planning, engineering, de-risking, etc.)";N.A.;"Primary energy, H2 Production, H2 Storage, H2 Transport";"Electricity from renewable energy sources";"Water electrolysis with ALK electrolyser";Cylinder;"Pipeline, Trucking";;"Mobility, Energy";"Cars, Buses, Trucks";"Hydrogen supply to gas-fired power plants, Hydrogen supply for injection into gas grid";
"Phi Suea House Project";Enapter;5.00;Thailand;N.A.;N.A.;Private;"Primary energy, H2 Production, H2 Storage, H2 Distribution";"Electricity from renewable energy sources";Other;Cylinder;;"HRS 350 bar";"Mobility, Energy";Cars;"Stationary fuel cells for distributed generation";
"Port of Los Angeles Shore to Store Demonstration Project";"Port of Los Angeles";70.00;"United States";N.A.;N.A.;"Private, Public: Regional";"H2 Distribution";;;;;"HRS 700 bar";Mobility;Trucks;;
"REFHYNE 2";Shell;N.A.;Germany;12000;"pre-FID (planning, engineering, de-risking, etc.)";N.A.;"H2 Production, H2 Transport";;"Water electrolysis with PEM electrolyser";;Pipeline;;"Mobility, Industrial use as feedstock";"Cars, Buses, Trucks";;"Supply to refineries"
"Regional Hydrogen Roadmap";"Dijon Métropole Smart Energy";11.37;France;N.A.;N.A.;"Private, Public: Supranational, National, Regional";"H2 Production, H2 Distribution";;"Water electrolysis with PEM electrolyser";;;;"Mobility, Energy";"Cars, Buses, Trains";;
"Rugao Hydrogen Energy Town";"Rugao City government";N.A.;China;N.A.;"Fully operational";"Public: Regional, Local";"Primary energy, H2 Production, H2 Storage, H2 Transport";;"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser";Cylinder;Trucking;;Mobility;"Cars, Buses, Trucks, Forklifts";;
SH2AMROCK;"University of Galway";32.00;Ireland;500;"pre-FID (planning, engineering, de-risking, etc.)";"Private, Public: Supranational";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";;Cylinder;Trucking;"HRS 350 bar";"Mobility, Industrial use as feedstock";"Buses, Trucks";;"Supply to other industries"
"Sines Hydrogen Valley";"aicep Global Parques";1500.00;Portugal;N.A.;N.A.;"Private, Public: Supranational";"Primary energy, H2 Production, H2 Storage, H2 Transport";"Electricity from renewable energy sources";;Cylinder;"Pipeline, Trucking, Ship";;"Mobility, Energy, Industrial use as feedstock";"Buses, Trucks, Forklifts";"Hydrogen supply for injection into gas grid";
SoHyCal;"H2B2 Electrolysis Technologies Inc";N.A.;"United States";N.A.;"Fully operational";"Private, Public: Regional";;;;;;;;;;
"Solatio H2 Piauí";Solatio;17000.00;Brazil;1506000;"pre-FID (planning, engineering, de-risking, etc.)";"Private, Public: Supranational, National, Regional";"Primary energy, H2 Production, H2 Storage, H2 Transport";"Electricity from renewable energy sources";"Water electrolysis with ALK electrolyser";;"Pipeline, Ship";;"Energy, Industrial use as feedstock";;;"Supply to chemical industry (e.g. fertilizer production), Supply to refineries, Supply to steel industry"
"South Marmara Hydrogen Shore - HYSouthMarmara";"Guney Marmara Kalkınma Ajansı - GMKA (South Marmara Development Agency)";22.00;Turkey;2;"pre-FID (planning, engineering, de-risking, etc.)";"Private, Public: Supranational, National, Regional";"H2 Production, H2 Storage, H2 Transport";;"Water electrolysis with PEM electrolyser";Other;"Trucking, Other";;"Energy, Industrial use as feedstock";;Other;"Supply to chemical industry (e.g. fertilizer production), Supply to other industries"
"Southern Arava Hydrogen Valley";"Doral Hydrogen";N.A.;Israel;5500;N.A.;N.A.;;;;;;;;;;
TH2ICINO;LHYFE;8.90;Italy;2028;"pre-FID (planning, engineering, de-risking, etc.)";"Public: Supranational";"H2 Production, H2 Transport, H2 Distribution";;"Water electrolysis with PEM electrolyser";;Trucking;"HRS 700 bar, HRS 350 bar";Mobility;"Buses, Other";;
TRIERES;"Motor Oil Hellas";115.00;Greece;4500;"pre-FID (planning, engineering, de-risking, etc.)";"Private, Public: Supranational";"H2 Production, H2 Storage, H2 Transport, H2 Distribution";;"Water electrolysis with ALK electrolyser, Other";"Cylinder, Other";Trucking;"HRS 700 bar, HRS 350 bar";"Mobility, Energy, Industrial use as feedstock";"Cars, Buses, Ships";"Stationary fuel cells for distributed generation, Hydrogen supply to gas-fired power plants, Hydrogen supply for injection into gas grid";"Supply to chemical industry (e.g. fertilizer production)"
"Ulster Hydrogen Valley";"B9 Energy Storage Ltd";9095.00;"United Kingdom";259500;"Feasibility study ongoing";"Private, Public: Supranational, National, Regional";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources";"Water electrolysis with PEM electrolyser, Water electrolysis with ALK electrolyser, Other";"Cavern, Other";"Pipeline, Ship, Other";;"Mobility, Energy";"Buses, Trucks, Ships";"Hydrogen supply to gas-fired power plants, Hydrogen supply for injection into gas grid";
"WIVA P&G - Wasserstoffinitiative Vorzeigeregion Austria Power & Gas";"Association WIVA P&G";258.00;Austria;2027;"Under construction";N.A.;"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources, Industrial gas";"Water electrolysis with PEM electrolyser, Water electrolysis with high-temp SOE electrolyzer";"Cylinder, Other";"Pipeline, Trucking";"HRS 700 bar, HRS 350 bar";"Mobility, Energy, Industrial use as feedstock";"Cars, Buses, Trucks, Trains";"Stationary fuel cells for distributed generation, Hydrogen supply for injection into gas grid";"Supply to steel industry"
"Wyoming Clean Power Center (WCPC)";"The Anschutz Corporation";840.00;"United States";N.A.;N.A.;Private;"Primary energy, H2 Production, H2 Storage, H2 Transport";"Electricity from renewable energy sources";"Water electrolysis with PEM electrolyser";Cavern;"Pipeline, Other";;"Energy, Industrial use as feedstock";;"Hydrogen supply to gas-fired power plants";"Supply to refineries, Supply to other industries"
"ZEV - Zero Emission Valley";"Auvergne-Rhône-Alpes Regional Council";36.00;France;N.A.;"Fully operational";"Private, Public: Supranational, National, Regional";"Primary energy, H2 Production, H2 Storage, H2 Transport, H2 Distribution";"Electricity from renewable energy sources, Other";"Water electrolysis with PEM electrolyser";"Cylinder, Cavern";Trucking;"HRS 700 bar, HRS 350 bar";Mobility;Cars;;
"Zhangjiakou demonstration project";"Zhangjiakou Municipal People's Government";N.A.;China;N.A.;N.A.;"Public: National, Regional, Local";"H2 Production, H2 Storage, H2 Transport";;"Water electrolysis with PEM electrolyser";;"Pipeline, Trucking";;"Mobility, Energy";"Cars, Buses, Trucks, Forklifts";"Stationary fuel cells for distributed generation, Hydrogen supply to gas-fired power plants";
