cname,year,ccode,ccodealp,ccodecow,ccodewb,Ed_qual,Hel_qual,Law_qual,Edimpart1,Helimpart1,Lawimpart1,Edimpart2,Helimpart2,Lawimpart2,EdCorr,HelCorr,LawCorr,Need_cor,Greed_cor,Ed_pay,Hel_pay,Law_pay,Other_pay,Any_bribe,Ed_ask,Hel_ask,Law_ask,Other_ask,Ask_Any,elec_not_free,Parl_conf,Vote_buy_ask
Slovenia,2021,705,SVN,349,705,7.087853,7.029369,7.069694,4.648952,5.10919,4.214837,1.793687,1.937223,1.95366,3.620865,4.138501,3.853915,4.315443,5.212057,.0086082,.0237901,.0093849,.0086321,.0383258,.0046728,.0128991,.0050573,.005848,.0192187,1.280261,3.815158,
Slovenia,2024,705,SVN,349,705,7.084418,6.288181,6.829218,5.228087,6.048112,5.447661,2.060056,2.429071,2.302759,4.017832,5.221378,4.676906,4.79709,5.911754,.0134532,.0471582,.0125226,.029251,.0741419,.0131001,.0119756,.0104165,.026656,.0414349,1.643486,4.700429,.0363678
Spain,2010,724,ESP,230,724,5.524631,5.957598,5.693591,3.415097,3.524664,3.59625,1.866053,1.910317,2.060658,3.218324,3.255131,3.702174,,,.0095219,.0127434,.0175359,.0110915,.0383911,,,,,,,,
Spain,2013,724,ESP,230,724,6.385473,6.606018,6.512446,4.737051,4.897529,4.740396,2.307992,2.171284,2.357337,4.022025,4.247972,4.569051,,,.003461,.0101444,.0059132,.0068279,.0177994,,,,,,,,
Spain,2017,724,ESP,230,724,6.293578,6.530777,7.071486,5.587244,5.686487,5.176311,2.436818,2.37186,2.295632,4.653895,4.873979,4.908559,4.565643,5.925222,.0067892,.0161579,.0056667,.0089783,.0274727,.008122,.0116709,.0104982,.0165616,.0329582,,4.185191,
Spain,2021,724,ESP,230,724,6.85499,6.582576,6.89541,4.721974,4.847352,4.777685,2.150128,2.138257,2.235468,3.895379,4.127342,4.38704,3.904348,5.025727,.0069036,.0190082,.006861,.007057,.0303182,.0044539,.0079973,.0095391,.0096688,.0214229,1.422164,4.015238,
Spain,2024,724,ESP,230,724,6.783197,6.474973,6.860648,5.140118,5.374567,5.017448,2.196101,2.252245,2.266736,3.951346,4.270889,4.447437,3.75225,4.955521,.008886,.0097184,.0025982,.0042778,.0184403,.0045608,.0059774,.0072071,.0094574,.020941,1.508898,5.629016,.0196999
Sweden,2010,752,SWE,380,752,6.154208,6.898291,6.245288,3.45772,3.743434,3.210849,1.997536,1.968568,1.976472,2.485164,2.569103,2.611788,,,.0008589,.0047291,.0008589,0,.0047291,,,,,,,,
Sweden,2013,752,SWE,380,752,5.985396,6.55174,6.510126,3.767269,3.896639,3.209698,2.068561,2.024992,1.961983,3.195004,3.088161,2.931221,,,.0014253,.0064015,.0028506,.0022616,.0072379,,,,,,,,
Sweden,2017,752,SWE,380,752,6.178992,6.18896,6.201825,3.96385,3.989876,3.44397,2.327381,2.243675,2.151583,2.61991,2.798669,2.567561,2.023261,3.143479,.0046712,.0063304,.0027483,.0008092,.0132211,.0078945,.0047163,.0023089,.0023114,.0106587,,5.680714,
Sweden,2021,752,SWE,380,752,6.55793,6.980899,6.550438,4.249281,4.431633,3.578269,2.056663,2.016297,1.959712,2.780971,2.46023,2.420064,2.125176,3.098613,.0251963,.0295717,.0219391,.0251272,.0427557,.0263451,.0264345,.025085,.0242686,.0374173,1.260192,6.07454,
Sweden,2024,752,SWE,380,752,6.456112,6.651733,6.494469,4.386406,4.42898,3.933542,2.166303,2.064929,2.01939,2.939077,2.881599,2.929566,2.334,3.009826,.0073414,.0071443,.0036323,.0068755,.0179636,.0089964,.0075246,.0095932,.0112647,.0252172,1.421647,5.528021,.0077962
United Kingdom,2010,826,GBR,200,826,6.849205,7.281811,6.79862,4.454346,4.301286,4.113011,1.802273,1.653118,1.817185,2.936349,2.922007,3.068985,,,.0078326,.0409766,.0071988,.0069729,.0456725,,,,,,,,
United Kingdom,2013,826,GBR,200,826,6.699068,6.895965,6.497678,4.521008,4.395402,4.039035,1.940916,1.856835,1.935592,3.003525,3.03308,3.182549,,,.0034341,.0090036,.0052907,.0009949,.0155165,,,,,,,,
United Kingdom,2017,826,GBR,200,826,6.849944,7.152862,6.920755,4.581198,4.134546,3.983542,1.927528,1.835974,1.95806,2.965423,2.889743,3.261903,2.755043,3.376924,.0089336,.0060801,.0032089,.0036485,.0152385,.0062342,.0111129,.0065794,.0050064,.0199995,,5.439406,
