Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter 
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country
ENERSENSE OFFSHORE OY,PORI,FI,3011,U1,102,ENERSENSE INTERNATIONAL OYJ,REPOSAAREN MAANTIE 170,28880,Satakunta,Finnland,61.598963,21.519417,Finland
VECTOR RENEWABLES ITALIA S.R.L.,MILANO,IT,7022,U1,95,RENANTIS S.P.A.,VLE MONZA 259,20126,Milano,Italien,,,Italy
SIMON CARVES ENGINEERING LIMITED,MANCHESTER,GB,7112,U1,43,PUNJ LLOYD LIMITED,"3A & 3B, SECOND FLOOR, MANCHESTER INTERNATIONAL OFFICE",M22 5WB,Manchester,Vereinigtes Königreich,,,United Kingdom
G. CATONE S.R.L.,NAPOLI,IT,4511,U1,19,MRS ANNARITA CATONE,RIV DI CHIAIA 61,80122,Napoli,Italien,,,Italy
ARCHIPETROL ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.,ΚΟΡΩΠΊ,GR,7112,U1,81,TECHNIP ENERGIES N.V,Ι. ΜΕΤΑΞΆ 80,19441,Αττική,Griechenland,38.031194,23.7725992231025,Greece
SPECIALTY MINERALS FRANCE,PARIS,FR,2013,U1,n.v.,MINERALS TECHNOLOGIES INC,121 AVENUE DES CHAMPS ELYSEES,75008,Paris,Frankreich,48.8723901,2.2982916,France
HINE ZARAGOZA SL.,ZARAGOZA,ES,4669,U1,35,HINE SA,"CALLE VEINTITRES DE ABRIL (PI EL PILAR, NAV 16-18)",50014,Zaragoza,Spanien,41.648539,-0.9070461,Spain
D&D SERVICES CO,COLOMBIERS,FR,5610,U1,n.v.,DOMAINE ET DEMEURE,DOMAINE LA MARTINE,34440,Hérault,Frankreich,43.306066,3.1711036,France
SPEED OY,HELSINKI,FI,5229,U1,9,MR VILHO TUOMO TAPIO VALLAS,RAHTARINKATU 5,00980,Uusimaa,Finnland,60.2232583,25.1714878,Finland
МЕСЕР БЪЛГАРИЯ,СОФИЯ,BG,4675,U1,123,MESSER INDUSTRIE GMBH,"КВ. ГАРА ИСКЪР, УЛ. ДИМИТЪР ПЕШЕВ 3А",1528,София - град,Bulgarien,42.6619987,23.4156577,Bulgaria
"SOCIEDADE PORTUGUESA DE OXIGÉNIO, LDA",MAIA,PT,8299,U1,11,AIR PRODUCTS & CHEMICALS INC,"RUA PROFESSOR ANTÓNIO MARQUES, 99",4425-364,Maia,Portugal,41.335688,-8.566131,Portugal
CFL CHEMISCHE FABRIK LEHRTE GMBH & CO. KG,LEHRTE,DE,2000,U1,47,,KÖTHENWALDSTR.,31275,Hannover,Deutschland,52.3796209,9.9679116,Germany
GBPGAS BUSINESS PARTNER GMBH,DAUTPHETAL,DE,4612,U1,4,MR NIEDERHOFER DETLEF,AUF DER MÜHLE,35232,Marburg-Biedenkopf,Deutschland,50.8177926,8.534399659041934,Germany
SOCIETA' SICILIANA GAS CRIOGENICI S.R.L.,MILANO,IT,2011,U1,4,MR FILIPPO MOSCATELLI,VIA MONTE ROSA 61,20149,Milano,Italien,45.4750005,9.1489989,Italy
СОЛ БЪЛГАРИЯ,СОФИЯ,BG,2011,U1,54,STICHTING AIRVISION,ВЛАДАЙСКА РЕКА 12,1510,София - град,Bulgarien,,,Bulgaria
ЦЕНТР ТЕХНИЧЕСКОГО СЕРВИСА,"ДОБРЯНКА, ПГТ ПОЛАЗНА",RU,0910,U1,n.v.,МЕЖДУНАРОДНАЯ КОМПАНИЯ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛУЧ КАПИТАЛ,ПЕР. ТРАНСПОРТНЫЙ Д. 1,618703,Пермский край,Russische Föderation,58.28529875,56.4061644,Russia
Q ENERGY SOLUTIONS SE,BERLIN,DE,7010,U1,30,한화솔루션(주),HILDEGARD-KNEF-PLATZ 3,10829,Berlin,Deutschland,52.4753283,13.3628142,Germany
MICROPROGEL S.R.L.,TORREGLIA,IT,2651,U1,38,DEVINLOP TRUST REG.,VIA ENRICO MATTEI 9,35038,Padova,Italien,45.335481,11.751966,Italy
MY BAG RENEWABLE ENERGIES S.R.L.,VENEZIA,IT,4120,U1,10,MY BAG RENEWABLE ENERGIES S.R.L.,SES SAN MARCO 1757 BACINO ORS,30124,Venezia,Italien,,,Italy
AIR PRODUCTS LLANWERN LIMITED,WALTON-ON-THAMES,GB,2011,U1,n.v.,AIR PRODUCTS & CHEMICALS INC,"HERSHAM PLACE TECHNOLOGY PARK, MOLESEY ROAD",KT12 4RZ,Walton-On-Thames,Vereinigtes Königreich,51.3676135,-0.3957073066885973,United Kingdom
VARTA CONSUMER BATTERIES UK LIMITED,OLDHAM,GB,2720,U1,5,DDR. MICHAEL TOJNER,"SUITE 102 EARL BUSINESS CENTRE, DOWRY STREET",OL8 2PF,Oldham,Vereinigtes Königreich,53.53892265,-2.1124605901139426,United Kingdom
IVE S.R.L.,SEREGNO,IT,2030,U1,29,ODESCALCHI S.R.L.,VIA ARTURO TOSCANINI 53,20831,Monza e della Brianza,Italien,45.6413403,9.2231836,Italy
TAYLOR CONSTRUCTION PLANT LIMITED,MALDON,GB,4669,C2,65,TAYLOR CONSTRUCTION PLANT LIMITED,"QUAYSIDE INDUSTRIAL ESTATE, BATES ROAD",CM9 5FA,Maldon,Vereinigtes Königreich,,,United Kingdom
LIMES,ST HERBLAIN,FR,2011,U1,n.v.,,21 ROUTE DU PLESSIS BOUCHET,44800,Loire-Atlantique,Frankreich,47.1988101,-1.6370925,France
PROXIGAZ,BALMA,FR,4612,U1,n.v.,DCC PUBLIC LIMITED COMPANY,75 RUE SAINT JEAN,31130,Haute-Garonne,Frankreich,43.6263961,1.484048,France
GUTTROFF GMBH,DETTELBACH,DE,2011,U1,7,MR GEORG GUTTROFF,ADOLF-OESTERHELD-STR. 29,97337,Kitzingen,Deutschland,49.793891,10.1932606,Germany
VAKO-VAKUUMBEHÄLTER- UND APPARATEBAU GMBH & CO. KG,KREUZTAL,DE,2529,U1,50,,INDUSTRIESTR. 5,57223,Siegen-Wittegenstein,Deutschland,50.96971225,8.047419936958667,Germany
ARKEMA SP. Z O.O.,INOWROCŁAW,PL,2013,U1,64,ARKEMA,PRZEMYSŁOWA,88-100,Inowrocławski,Polen,52.749966,18.239413,Poland
ELKEM SILICONES SCANDINAVIA AS,OSLO,NO,4675,U1,0,GOVERNMENT OF CHINA,DRAMMENSVEIEN 169,0277,Oslo,Norwegen,59.921177,10.673545,Norway
RINA CONSULTING DEFENCE LTD,LEATHERHEAD,GB,7112,U1,103,REGISTRO ITALIANO NAVALE,RINA 1 SPRINGFIELD DRIVE,KT22 7AJ,Leatherhead,Vereinigtes Königreich,51.30653335,-0.3426695115532218,United Kingdom
KEITH STORAGE SOLUTIONS LIMITED,LONDON,GB,7490,U1,n.v.,GOVERNMENT OF NORWAY,19TH FLOOR 22 BISHOPSGATE,EC2N 4BQ,London EC2N,Vereinigtes Königreich,51.5144777,-0.0829730662558502,United Kingdom
LOI-POLAND SP. Z O.O.,TARNOWSKIE GÓRY,PL,2821,U1,53,,ZAGÓRSKA 79,42-680,Tarnogórski,Polen,50.4771628,18.7964651,Poland
AIR LIQUIDE SPATIAL GUYANE,KOUROU,FR,2011,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE","ENSEMBLE DE LANCEMENT 97310, ROUTE ENSEMBLE DE LANCEMENT",97310,French Guiana,Frankreich,,,France
GEOEX MCG LTD,EPSOM,GB,0910,C1,17,GEOEX MCG LTD,"GLOBAL HOUSE, ASHLEY AVENUE",KT18 5AD,Epsom,Vereinigtes Königreich,51.3325399,-0.2685213919209431,United Kingdom
EW MEDIEN UND KONGRESSE GMBH,BERLIN,DE,8230,U1,33,VDE VERBAND DER ELEKTROTECHNIK ELEKTRONIK INFORMATIONSTECHNIK,BISMARCKSTR. 33,10625,Berlin,Deutschland,52.5120847,13.3099149,Germany
ІНТЕР-СИНТЕЗ ТОВ,БОРИСЛАВ,UA,4675,U1,33,MR MIHAYLO KAZIMIROVICH STARCHEVSKIY,"ВУЛ. ТРУСКАВЕЦЬКА 125, ЛЬВІВСЬКА ОБЛ.",82300,ЛЬВОВСКАЯ ОБЛАСТЬ,Ukraine,49.2845644,23.4428963,Ukraine
NOLEK AKTIEBOLAG,NORSBORG,SE,2651,U1,37,INDUTRADE AKTIEBOLAG,HANTVERKARVÄGEN 11,145 63,Stockholm,Schweden,59.171698,18.151643,Sweden
AZUR DISTILLATION,MAUBEC,FR,1101,NRF,n.v.,AZUR DISTILLATION,387 ROUTE DE CAVAILLON,84660,Vaucluse,Frankreich,43.865608,5.140628,France
JUMO ITALIA S.R.L.,SESTO SAN GIOVANNI,IT,4669,U1,16,M K.JOCHHEIM GMBH & CO,VIA GIOSUE' CARDUCCI 221/54,20099,Milano,Italien,45.531117,9.221901,Italy
LUENGO COLOR SLU,TERRASSA,ES,2012,U1,23,BROWIL COLOR GROUP SL.,"CALLE PISUERGA (POL. INDUSTRIAL SANTA MARGARIDA), 55",08223,Barcelona,Spanien,41.377611,2.112445,Spain
CONRAD (CHATTERLEY) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D & E, WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom
ILT TECNOLOGIE S.R.L.,PONSACCO,IT,2562,U1,50,LEMASS HOLDING S.R.L.,VIA TORINO 1,56038,Pisa,Italien,43.627502,10.620397,Italy
AIR LIQUIDE BIOMETANO S.R.L.,MILANO,IT,2011,U1,17,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",VIA BISCEGLIE 66,20152,Milano,Italien,,,Italy
PLUG POWER EUROPE,PARIS,FR,4669,U1,n.v.,PLUG POWER INC,109 BOULEVARD PEREIRE,75017,Paris,Frankreich,48.8858029,2.2995186,France
АКЦИОНЕРНОЕ ОБЩЕСТВО ГАЗСБЫТСЕРВИС,САРАТОВ,RU,4950,U1,62,ZHIDKOVA IRINA VLADIMIROVNA,"УЛ. ШЕЛКОВИЧНАЯ ЗД 177, СТР 2",410071,Саратовская область,Russische Föderation,51.53937,45.976302,Russia
INTELLIGENT ENERGY LIMITED,LOUGHBOROUGH,GB,7219,C1,213,NINEVEH TRUST,"CHARNWOOD WING, HOLYWELL PARK, ASHBY ROAD",LE11 3GB,Loughborough,Vereinigtes Königreich,52.76173595,-1.2585019006425902,United Kingdom
RED BULL ADVANCED TECHNOLOGIES LIMITED,MILTON KEYNES,GB,2932,U1,70,RED BULL GMBH,"MK7 BUILDING BRADBOURNE DRIVE, TILBROOK",MK78AZ,Milton Keynes,Vereinigtes Königreich,52.00800975,-0.689985638104111,United Kingdom
RENEWABLE UK ASSOCIATION,LONDON,GB,9411,C2,41,,THE CONDUIT 6 LANGLEY STREET,WC2H 9JA,London WC2H,Vereinigtes Königreich,51.5131982,-0.1251689,United Kingdom
M.P. MONDINO - S.R.L.,ASTI,IT,3523,U1,7,M.P. MONDINO - S.R.L.,VIA DEL LAVORO 23,14100,Asti,Italien,44.903507,8.231738,Italy
KEPSTON HOLDINGS LIMITED,WEDNESBURY,GB,2562,C1,68,MR BRENT DOUGLAS MILLAGE,UNITS 13-15 WESTERN WAY,WS10 7BW,Wednesbury,Vereinigtes Königreich,52.55921545,-2.0585409587039805,United Kingdom
FILL UP MEDIA,LYON,FR,7312,C2,49,,139 RUE VENDOME,69006,Rhône,Frankreich,45.7649587,4.8460503,France
АКЦИОНЕРНОЕ ОБЩЕСТВО РЕАТЭКС,МОСКВА,RU,2013,U1,79,,УЛ. УГРЕШСКАЯ Д. 33,115088,г.Москва,Russische Föderation,55.7122964,37.68914432852761,Russia
CONRAD (MIDDLEWICH) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D & E, WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom
PARQUE EOLICO PERALEJO SA,MADRID,ES,3511,U1,n.v.,"ACCIONA, SA","AVENIDA GRAN VIA DE HORTALEZA, 1",28033,Madrid,Spanien,40.4686982,-3.6577941,Spain
PETROLEUM OIL & GAS ESPAÑA SA,MADRID,ES,0910,U1,20,NATURGY ENERGY GROUP SA.,"AVENIDA AMERICA, 38",28028,Madrid,Spanien,40.441417,-3.66602,Spain
DEURING GMBH & CO KG,HÖRBRANZ,AT,4675,U1,15,,SEESTRAßE 10,6912,Vorarlberg,Österreich,47.535021,9.738313,Austria
APOLLINARIS BRANDS GMBH,BERLIN,DE,4634,U1,n.v.,COCA-COLA COMPANY (THE),STRALAUER ALLEE 4,10245,Berlin,Deutschland,52.50076555,13.452043349999997,Germany
CELL IMPACT AB (PUBL),KARLSKOGA,SE,2711,C2,110,CELL IMPACT AB (PUBL),KÄLLMOSSVÄGEN 7 A,691 52,Örebro,Schweden,,,Sweden
CONRAD (BISPHAM) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom
VISA S.R.L.,GROPELLO CAIROLI,IT,2030,U1,19,,VIA BERGAMO,27027,Pavia,Italien,45.172566,8.994023,Italy
ИННОВАЦИЯ,ВОРОНЕЖ,RU,2013,U1,22,,УЛ.25 ОКТЯБРЯ Д.31 КАБ 100,394000,Воронежская область,Russische Föderation,51.66474955,39.21056861737108,Russia
ЧАСТНОЕ ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКОЕ УЧРЕЖДЕНИЕ САНАТОРИЙ ХИЛОВО,Д. ХИЛОВО,RU,8690,U1,369,ПСКОВСКИЙ РЕГИОНАЛЬНЫЙ СОЮЗ ОРГАНИЗАЦИЙ ПРОФСОЮЗОВ ПСКОВСКИЙ ОБЛАСТНОЙ СОВЕТ ПРОФЕСС,УЛ. ЦЕНТРАЛЬНАЯ Д. 1,182651,Псковская область,Russische Föderation,57.75706005,29.364888070386304,Russia
CRI HF.,KÓPAVOGI,IS,7219,C1,26,CRI HF.,HOLTASMÁRA 1,201,Kópavogur,Island,-35.653419,137.641414,Iceland
BOLDRIN - S.R.L.,RUBANO,IT,4674,U1,12,,VIA PITAGORA 27,35030,Padova,Italien,45.422386,11.788351,Italy
MULTICHEM S.R.L.,RONCADE,IT,4612,U1,3,M.I.D.A. - S.R.L.,VIA PAOLO SARPI 10/A,31056,Treviso,Italien,45.626016,12.376081,Italy
"CENTRO TÉCNICO DE GÁS TORREJANO, UNIPESSOAL, LDA",RIACHOS,PT,4671,U1,16,MR ANTONIO MANUEL FERREIRA ROSA,"RUA ZONA INDUSTRIAL ESTE, LOTE 3",2350-376,Torres Novas,Portugal,39.471113,-8.548441,Portugal
COS.MO ITALIA SRL,CASTELNUOVO BOCCA D'ADDA,IT,2899,U1,19,MR FABRIZIO CAPELLI,VIA GIOVANNI MASSARI 3,26843,Lodi,Italien,45.111287,9.86327,Italy
CONRAD (HEYBRIDGE) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom
ITM POWER PLC,SHEFFIELD,GB,2790,C1,415,ITM POWER PLC,2 BESSEMER PARK,S9 1DZ,Sheffield,Vereinigtes Königreich,53.35601655,-1.4733274,United Kingdom
АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ПРОЕКТНО-КОНСТРУКТОРСКИЙ И ТЕХНОЛОГИЧЕСКИЙ АККУМУЛЯТОРНЫЙ ИНСТИТУТ ИСТОЧНИК,САНКТ-ПЕТЕРБУРГ,RU,2720,U1,161,MRS MARIYA VYACHESLAVOVNA YAKOVLEVA,УЛ. ДАЛЯ Д. 10,197376,г.Санкт-Петербург,Russische Föderation,59.9692971,30.29245227593991,Russia
LAVORAZIONI AUSILIARIE CONCERIE S.R.L. (L.A.C.S.A.),ROSTA,IT,2059,U1,12,TRUMPLER GMBH E CO. CHEMISCHE FABRIK,STR ANTICA DI ALPIGNANO 46,10090,Torino,Italien,45.101914,7.6512,Italy
AIR LIQUIDE LIMITED,BIRMINGHAM,GB,2110,U1,10,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE","STATION ROAD, COLESHILL",B46 1JY,Birmingham,Vereinigtes Königreich,52.52843185,-1.8425769500000009,United Kingdom
SHELL EP OFFSHORE VENTURES LIMITED,LONDON,GB,0610,U1,n.v.,SHELL PLC,SHELL CENTRE,SE1 7NA,London SE1,Vereinigtes Königreich,51.5038502,-0.1167733632104527,United Kingdom
HYDROGENPRO ASA,PORSGRUNN,NO,2790,C2,26,,HYDROVEGEN 6,3933,Porsgrunn,Norwegen,59.1294814,9.631111,Norway
FRANCE ETUVES,CHELLES,FR,2821,U1,22,MR PHILIPPE LEMBLE,65 RUE AUGUSTE MEUNIER,77500,Seine-et-Marne,Frankreich,48.8685805,2.589219267094017,France
QUIMICAS MORALES SL,LAS PALMAS DE GRAN CANARIA,ES,4675,U1,41,,"CALLE MISIONES, 11",35008,Las Palmas,Spanien,28.1586036,-15.4224668,Spain
ВЗОР,НИЖНИЙ НОВГОРОД,RU,2651,U1,176,,УЛ. ГЕРОЯ ЕЛИСЕЕВА Д.7 КВ.24,603009,Нижегородская область,Russische Föderation,56.26968905,43.98320721751215,Russia
LECO INSTRUMENTOS SL,TRES CANTOS,ES,4690,U1,21,WARREN CHISTOPHER,"PLAZA DE LA ENCINA, 10 NUCLEO 3 PISO 1 A",28760,Madrid,Spanien,,,Spain
CONRAD (PURFLEET) LIMITED,ABINGDON,GB,3511,U1,2,CONRAD ENERGY GROUP LIMITED,"SUITES D&E WINDRUSH COURT, BLACKLANDS WAY",OX14 1SY,Abingdon,Vereinigtes Königreich,51.67204185,-1.30321925,United Kingdom
EKSPRES GAS DOO RUMA,RUMA,RS,4671,U1,28,BRANKA JOKIC,AUGUSTA CESARCA 52,22400,Srem,Serbien,,,Serbia
ПРОИЗВОДСТВЕННОЕ РЕСПУБЛИКАНСКОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МОЛОДЕЧНЕНСКИЙ ЗАВОД ПОРОШКОВОЙ МЕТАЛЛУРГИИ,MOLODECHNO,BY,2550,U1,166,STATE INSTITUTION,UL. YA.KUPALY 130,222310,Молодечненский,Weißrussland,54.36822,26.836993,Belarus
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО РЫБИНСКГАЗСЕРВИС,РЫБИНСК,RU,3522,U1,292,Правительство Российской Федерации,ПР-КТ РЕВОЛЮЦИИ Д.3,152905,Ярославская область,Russische Föderation,52.31784,76.9160918560722,Russia
GAMMACOLOR S.R.L.,SEVESO,IT,4673,U1,9,,VIA FEDERICO ZEUNER 5,20822,Monza e della Brianza,Italien,45.6496143,9.1397447,Italy
"ÂNGELO COIMBRA, S.A.",MAIA,PT,4675,U1,21,,"ZONA INDUSTRIAL DA MAIA I SECTOR IV, 10 LOTE 55 - ZONA INDUSTRIAL DA MAIA I SECTOR IV",4470-459,Maia,Portugal,38.74519085,-9.098122319205318,Portugal
DNE PHARMA AS,OSLO,NO,4646,U1,8,FARMA INVESTMENT AS,KARIHAUGVEIEN 22,1086,Oslo,Norwegen,59.940414,10.907547,Norway
UTP D. O. O.,PULA,HR,2011,U1,30,STICHTING AIRVISION,ULICA SV. POLIKARPA - VIA SAN POLICARPO 4,52100,Istarska,Kroatien,,,Croatia
АКЦИОНЕРНОЕ ОБЩЕСТВО ТУРИСТСКО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС СУДАК,СУДАК,UA,8690,U1,200,,УЛ. ЛЕНИНА Д. 89,98000,КРЫМ АР,Ukraine,,,Ukraine
COLOR QUIMICA SA,CASTELLBISBAL,ES,2012,U1,14,,"CALLE ARTESANS ((POL IND COMTE DE SERT)), 2 2-3",08755,Barcelona,Spanien,41.480526,1.984506,Spain
REINERTSEN NEW ENERGY AS,TRONDHEIM,NO,7112,U1,27,TRE AS,HAVNEGATA 9,7010,Trondheim,Norwegen,63.4410603,10.4028198,Norway
SIEĆ BADAWCZA ŁUKASIEWICZ - INSTYTUT CIĘŻKIEJ SYNTEZY ORGANICZNEJ BLACHOWNIA,KĘDZIERZYN-KOŹLE,PL,7219,U1,121,,ENERGETYKÓW 9,47-225,Kędzierzyńsko-Kozielski,Polen,50.361183,18.288097,Poland
HYDROGENE DE FRANCE,LORMONT,FR,3511,C2,38,MR DAMIEN HAVARD,20 RUE JEAN JAURES,33310,Gironde,Frankreich,44.877314,-0.532404,France
PROCESS SENSING TECHNOLOGIES PST GMBH,FRIEDRICHSDORF,DE,4778,U1,18,SPECIALTY MEASUREMENT TOPCO LIMITED,MAX-PLANCK-STR. 14,61381,Hochtaunuskreis,Deutschland,50.25915415,8.653598201730597,Germany
AMEC FOSTER WHEELER ENERGY LIMITED,KNUTSFORD,GB,7112,U1,11,JOHN WOOD GROUP PLC,"BOOTHS PARK CHELFORD ROAD, CHESHIRE",WA16 8QZ,Knutsford,Vereinigtes Königreich,,,United Kingdom
INDUSTRIAS QUIMICAS CUADRADO SA,VALVERDE DE LA VIRGEN,ES,4675,U1,9,CUADRADO CABELLO MARIA NIEVES,"CARRETERA VALVERDE DE LA VIRGEN A FRESNO CAMINO, S/N",24198,León,Spanien,,,Spain
CRANFIELD AEROSPACE SOLUTIONS LIMITED,BEDFORD,GB,3030,U1,83,CRANFIELD AEROSPACE SOLUTIONS LIMITED,"TRENT HOUSE, (PART) 1ST FLOOR, UNIVERSITY WAY, CRANFIELD",MK43 0AN,Bedford,Vereinigtes Königreich,52.1438572,-0.4461065,United Kingdom
LISARB ENERGY GROUP LIMITED,BARNSTAPLE,GB,6420,U1,n.v.,LISARB ENERGY GROUP LIMITED,"MEDIAN HOUSE FISHLEIGH COURT, FISHLEIGH ROAD",EX31 3UD,Barnstaple,Vereinigtes Königreich,51.0858784,-4.058029149999999,United Kingdom
ATH,PARIS,FR,8129,NRF,37,M BOSCQ JEAN ROBERT,9 RUE ALEXANDRE DUMAS,75011,Paris,Frankreich,48.8530191,2.3896788,France
ПРОИЗВОДСТВЕННАЯ ФИРМА ЛИВАМ,БЕЛГОРОД,RU,2660,U1,74,MR PAVEL ALEKSANDROVICH LITOVKA,ПР-КТ Б.ХМЕЛЬНИЦКОГО Д.134 А,308023,Белгородская область,Russische Föderation,52.3178023,76.9259611,Russia
MULTI INDUSTRIEANLAGEN GMBH,AUE,DE,2511,U1,37,MR STEFAN GNICHTEL,ZSCHORLAUER STR. 56,08280,Erzgebirgskreis,Deutschland,50.585006,12.677126,Germany
ГАЗПРОМ СЖИЖЕННЫЙ ГАЗ,КАЗАНЬ,RU,4671,U1,189,Правительство Российской Федерации,УЛ. ДУБРАВНАЯ Д. 53 „А“,420138,Республика Татарстан (Татарстан),Russische Föderation,,,Russia
KENNOXHEAD WIND FARM LIMITED,LONDON,GB,4110,U1,n.v.,KINGDOM OF DENMARK,5 HOWICK PLACE,SW1P 1WG,London SW1P,Vereinigtes Königreich,51.4967767,-0.1360237,United Kingdom
ENOGIA,MARSEILLE,FR,7490,C2,58,ENOGIA,19 AVENUE PAUL HEROULT,13015,Bouches-du-Rhône,Frankreich,43.339253,5.369384,France
ХИМОПТТОРГ,ВОРОНЕЖ,RU,4690,U1,35,MR ILYA VIKTOROVICH GONCHAROV,УЛ. ЗЕМЛЯЧКИ Д.21,394033,Воронежская область,Russische Föderation,51.7203518,39.29449294977093,Russia
WALDORF SERVICES LIMITED,MANCHESTER,GB,6420,U1,7,WALDORF ENERGY PARTNERS LIMITED,ONE ST PETER'S SQUARE,M2 3DE,Manchester,Vereinigtes Königreich,53.477544,-2.243189,United Kingdom
KLIMATPROJEKT I MÄLARDALEN AB,FJÄRDHUNDRA,SE,7112,U1,5,,FRÖSTHULT MÅTTEBY 7,749 71,Uppsala,Schweden,,,Sweden
АКЦИОНЕРНОЕ ОБЩЕСТВО ЗАВОД ХИМРЕАКТИВКОМПЛЕКТ,СТАРАЯ КУПАВНА,RU,2110,U1,85,MR NIKOLAI ALEKSEEVICH NEFATOV,"УЛ. ДОРОЖНАЯ Д. 1/4, СТР. 1",142450,Московская область,Russische Föderation,55.72794005,37.607796647413416,Russia
ITM POWER (TRADING) LIMITED,SHEFFIELD,GB,2790,U1,400,ITM POWER PLC,2 BESSEMER PARK,S9 1DZ,Sheffield,Vereinigtes Königreich,53.35601655,-1.4733274,United Kingdom
GRUPPO MACCHIA CORPORATE S.R.L.,POTENZA,IT,6420,U1,5,MR DONATO MACCHIA,VLE GUGLIELMO MARCONI 179,85100,Potenza,Italien,40.6291664,15.8053576,Italy
CENTRA SERWIS - T.Z. MITMAN SP.J.,ŁÓDŹ,PL,4531,U1,12,,DUBOIS 119,93-465,Łódź,Polen,51.717255,19.407542,Poland
CCI VALVE TECHNOLOGY AB,SÄFFLE,SE,4669,U1,18,IMI PLC,BOX 603,661 29,Värmland,Schweden,,,Sweden
QAIR FRANCE,MONTPELLIER,FR,7490,U1,n.v.,DIF Infrastructure VII Coöperatief U.A.,"ZONE D AMENAGEMENT CONCERTE CAMBACERES, 120 RUE MARYAM MIRZAKHANI",34000,Hérault,Frankreich,43.595204,3.920685,France
SOCIETE NOUVELLE MILLE PERE ET FILS,PEYRUIS,FR,4675,U1,n.v.,DURANSIA,"ZA LA CASSINE LOTISSEMENT LA SEV, 71 RUE DES PENITENTS",04310,Alpes-de-Haute-Provence,Frankreich,44.041665,5.960006,France
HUMBERSIDE OFFSHORE TRAINING ASSOCIATION,HULL,GB,8559,U1,38,,"MALMO ROAD, SUTTON FIELDS INDUSTRIAL ESTATE",HU7 0YF,Hull,Vereinigtes Königreich,53.7351662,-0.365051,United Kingdom
PROTON MOTOR POWER SYSTEMS PLC,LONDON,GB,2011,C1,107,NAHAB FAMILY,"C/O WOMBLE BOND DICKSON (UK) LLP, 4 MORE LONDON RIVERSIDE",SE1 2AU,London SE1,Vereinigtes Königreich,51.504548,-0.080365,United Kingdom
AIR LIQUIDE MIDDLE EAST,PARIS,FR,6420,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France
HULTEBERG CHEMISTRY & ENGINEERING AB,MALMÖ,SE,7112,U1,16,HULTEBERG HOLDING AB,KRUSEGATAN 32,212 25,Skåne,Schweden,,,Sweden
AW-ENERGY OY,VANTAA,FI,7112,U1,7,,TIKKURILANTIE 10,01380,Uusimaa,Finnland,60.291186,25.072881,Finland
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КАЗАНСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА,КАЗАНЬ,RU,4646,U1,7,,УЛ.АДОРАТСКОГО Д.12,420133,Республика Татарстан (Татарстан),Russische Föderation,42.905279,71.441848,Russia
LHYFE,NANTES,FR,7112,C2,149,LHYFE,1 T MAIL PABLO PICASSO,44000,Loire-Atlantique,Frankreich,47.217073,-1.532056,France
