Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country,Full Address
BIOGAS DUCHEROW GMBH,DUCHEROW,DE,2011,U1,3,E.ON SE,KARL-MARX-STR. 23,17398,Dahme-Spreewald,Deutschland,53.7527349,13.777926920638976,Germany,"KARL-MARX-STR. 23, 17398, Dahme-Spreewald, Deutschland"
BIOGASANLAGE HAßLEBEN GMBH,BOITZENBURGER LAND,DE,3521,U1,2,MR CHRISTIANUS MARIA VAN GENNIP HENRICUS,STRAßE DER DSF,17268,Uckermark,Deutschland,53.2186761,13.6852948,Germany,"STRAßE DER DSF, 17268, Uckermark, Deutschland"
BIOMONTAN PRODUKTIONS UND HANDELS GMBH,ENNS,AT,4775,U1,32,,REGENSBURGER STRAßE 5,4470,Oberösterreich,Österreich,48.2320142,14.492555987323207,Austria,"REGENSBURGER STRAßE 5, 4470, Oberösterreich, Österreich"
BIONA GROUP AB,HÄLLINGSJÖ,SE,2014,LF,2,,"C/O INGVAR GUNNAR JOACIM SAGER, UBBHULT MÖLNEBACKA 3",438 95,Västernorrland,Schweden,,,Sweden,"C/O INGVAR GUNNAR JOACIM SAGER, UBBHULT MÖLNEBACKA 3, 438 95, Västernorrland, Schweden"
BOC HELEX,WOKING,GB,7010,U1,1,LINDE PUBLIC LIMITED COMPANY,"FORGE, 43 CHURCH STREET WEST",GU21 6HT,Woking,Vereinigtes Königreich,51.31803175,-0.5621470081842368,United Kingdom,"FORGE, 43 CHURCH STREET WEST, GU21 6HT, Woking, Vereinigtes Königreich"
BOC KOREA HOLDINGS LIMITED,WOKING,GB,7010,U1,n.v.,LINDE PUBLIC LIMITED COMPANY,"FORGE, 43 CHURCH STREET WEST",GU21 6HT,Woking,Vereinigtes Königreich,51.31803175,-0.5621470081842368,United Kingdom,"FORGE, 43 CHURCH STREET WEST, GU21 6HT, Woking, Vereinigtes Königreich"
BP ABERDEEN HYDROGEN ENERGY LIMITED,ABERDEEN,GB,3299,U1,n.v.,,"C/O JOHNSTON CARMICHAEL, BISHOP'S COURT",AB10 1YL,Aberdeen,Vereinigtes Königreich,57.14382495,-2.12802321014168,United Kingdom,"C/O JOHNSTON CARMICHAEL, BISHOP'S COURT, AB10 1YL, Aberdeen, Vereinigtes Königreich"
BP CANADA INTERNATIONAL HOLDINGS B.V.,EUROPOORT ROTTERDAM,NL,6420,U1,n.v.,BP P.L.C.,D'ARCYWEG 76,3198 NA,Rotterdam,Niederlande,51.9395733,4.1036219,Netherlands,"D'ARCYWEG 76, 3198 NA, Rotterdam, Niederlande"
BP TECHNOLOGY VENTURES LIMITED,SUNBURY-ON-THAMES,GB,7010,U1,n.v.,BP P.L.C.,CHERTSEY ROAD,TW16 7BP,Sunbury-On-Thames,Vereinigtes Königreich,,,United Kingdom,"CHERTSEY ROAD, TW16 7BP, Sunbury-On-Thames, Vereinigtes Königreich"
BRIGHT GREEN HYDROGEN LTD,EDINBURGH,GB,7219,U1,n.v.,,"MOULSDALE HOUSE, 24D MILTON ROAD EAST",EH15 2PP,Edinburgh,Vereinigtes Königreich,55.9436992,-3.0984078,United Kingdom,"MOULSDALE HOUSE, 24D MILTON ROAD EAST, EH15 2PP, Edinburgh, Vereinigtes Königreich"
BRITANNIA LIFT SERVICES (U.K.) LIMITED,BRENTFORD,GB,,U1,n.v.,CARRIER GLOBAL CORP,"10TH FLOOR VANTAGE, GREAT WEST ROAD",TW8 9AG,Brentford,Vereinigtes Königreich,51.4874424,-0.3129875,United Kingdom,"10TH FLOOR VANTAGE, GREAT WEST ROAD, TW8 9AG, Brentford, Vereinigtes Königreich"
BRUSH HMA B.V.,CAPELLE AAN DEN IJSSEL,NL,2711,U1,55,MELROSE INDUSTRIES PLC,"SCHAARDIJK 372 5TH FLOOR, B",2909 LA,Capelle Aan Den Ijssel,Niederlande,51.9063606,4.5441931,Netherlands,"SCHAARDIJK 372 5TH FLOOR, B, 2909 LA, Capelle Aan Den Ijssel, Niederlande"
BUBNEY ENERGY CENTRE LIMITED,LONDON,GB,3511,U1,2,MR KNUD ERIK ANDERSEN,6TH FLOOR 338 EUSTON ROAD,NW1 3BG,London NW1,Vereinigtes Königreich,51.5244652,-0.141496,United Kingdom,"6TH FLOOR 338 EUSTON ROAD, NW1 3BG, London NW1, Vereinigtes Königreich"
CANFORD RENEWABLE ENERGY LIMITED,WIMBORNE,GB,0149,U1,15,MR WILLIAM EDWARD RIDDLE,"ENERGY SITE CONTROL CENTRE, CANFORD RECYCLING CENTRE, ARENA WAY",BH21 3BW,Wimborne,Vereinigtes Königreich,50.7750379,-1.9388482,United Kingdom,"ENERGY SITE CONTROL CENTRE, CANFORD RECYCLING CENTRE, ARENA WAY, BH21 3BW, Wimborne, Vereinigtes Königreich"
CARBAGAS AG,GÜMLIGEN,CH,2011,LF,160,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",HOFGUT,3073,Bern,Schweiz,46.9327501,7.5111076,Switzerland,"HOFGUT, 3073, Bern, Schweiz"
CARBON BRENNSTOFFHANDELS- UND TRANSPORTGESELLSCHAFT MBH,BOCHUM,DE,4778,U1,3,,STIEPELER STR. 68 H,44799,Bochum,Deutschland,51.450661,7.238199,Germany,"STIEPELER STR. 68 H, 44799, Bochum, Deutschland"
CARBOTECH AC GMBH,ESSEN,DE,4612,U1,22,INTERNATIONAL CHEMICAL INVESTORS II S.à r.l.,ELISENSTR. 119,45139,Essen,Deutschland,51.46257105,7.03642779999999,Germany,"ELISENSTR. 119, 45139, Essen, Deutschland"
CCE SOLAR INVEST GMBH,GARSTEN,AT,6420,U1,n.v.,CCE SOLAR INVEST GMBH,KLOSTERSTRAßE 2,4451,Oberösterreich,Österreich,48.0221517,14.4044633,Austria,"KLOSTERSTRAßE 2, 4451, Oberösterreich, Österreich"
CEMEX ADMIXTURES GMBH,SALZKOTTEN,DE,2059,U1,48,CEMEX,GESEKER STR. 31- 33,33154,Paderborn,Deutschland,51.66844195,8.595608739675512,Germany,"GESEKER STR. 31- 33, 33154, Paderborn, Deutschland"
CHERTON ENERGY LLP,BELFAST,GB,,U1,n.v.,,"UNIT 8, 232-240 BELMONT ROAD",BT4 2AW,Belfast,Vereinigtes Königreich,54.601727,-5.861652,United Kingdom,"UNIT 8, 232-240 BELMONT ROAD, BT4 2AW, Belfast, Vereinigtes Königreich"
CHORUS WIND SONTRA GMBH & CO. KG,NEUBIBERG,DE,3511,U1,n.v.,ENCAVIS AG,PROFESSOR-MESSERSCHMITT-STR. 3,85579,"München, Landkreis",Deutschland,48.0755965,11.6551996,Germany,"PROFESSOR-MESSERSCHMITT-STR. 3, 85579, München, Landkreis, Deutschland"
CHP CARBOHYDRATE PIRNA GMBH & CO. KG,PIRNA,DE,2120,LF,46,JOSEF RETTENMAIER HOLDING GMBH & CO.KG,LOHMENER STR. 12,01796,Sächsische Schweiz,Deutschland,50.9796666,13.945112,Germany,"LOHMENER STR. 12, 01796, Sächsische Schweiz, Deutschland"
CHROMOPTIC,VILLEJUST,FR,4690,U1,n.v.,MR MATTHIEU PELLETIER,"ZAC DE VILLEJUST, AVENUE AVENUE DES 2 LACS",91140,Essonne,Frankreich,48.685002,2.203785,France,"ZAC DE VILLEJUST, AVENUE AVENUE DES 2 LACS, 91140, Essonne, Frankreich"
CLEAN POWER HYDROGEN PLC,DONCASTER,GB,6420,C1,47,CLEAN POWER HYDROGEN PLC,"UNIT D PARKSIDE BUSINESS PARK, SPINNERS ROAD",DN2 4BL,Doncaster,Vereinigtes Königreich,53.5261028,-1.1282682,United Kingdom,"UNIT D PARKSIDE BUSINESS PARK, SPINNERS ROAD, DN2 4BL, Doncaster, Vereinigtes Königreich"
COFERMIN CHEMICALS GMBH & CO. KG,ESSEN,DE,4675,U1,9,,ALFREDSTR. 61,45130,Essen,Deutschland,51.4362425,7.0029856,Germany,"ALFREDSTR. 61, 45130, Essen, Deutschland"
CONSTANT ENERGY LIMITED,LIMERICK,IE,3511,U1,1,KINZIE HOLDINGS LTD,"6TH FLOOR RIVERPOINT, LOWER MALLOW STREET",V94 WC6A,Limerick,Irland,52.659852650000005,-8.629272160356113,Ireland,"6TH FLOOR RIVERPOINT, LOWER MALLOW STREET, V94 WC6A, Limerick, Irland"
CORENT B.V.,ALMELO,NL,3514,U1,n.v.,GAS SERVICE TEAM BEHEER B.V.,AMBACHTSTRAAT 4,7609 RA,Almelo,Niederlande,52.3350351,6.6566787,Netherlands,"AMBACHTSTRAAT 4, 7609 RA, Almelo, Niederlande"
CTP CHEMISCH THERMISCHE PROZESSTECHNIK GMBH,GRAZ,AT,4674,U1,60,MR YESILTEPE ARIF,SCHMIEDLSTRAßE 10,8042,Steiermark,Österreich,47.0449932,15.4809655,Austria,"SCHMIEDLSTRAßE 10, 8042, Steiermark, Österreich"
CUBE GREEN ENERGY LIMITED,THATCHAM,GB,6420,U1,3,ISQ GLOBAL FUND III GP LLC,"2 COMMUNICATIONS ROAD, GREENHAM BUSINESS PARK, NEWBURY",RG19 6AB,Thatcham,Vereinigtes Königreich,51.395467,-1.3238876999999991,United Kingdom,"2 COMMUNICATIONS ROAD, GREENHAM BUSINESS PARK, NEWBURY, RG19 6AB, Thatcham, Vereinigtes Königreich"
DEGESCH GMBH,LAUDENBACH,DE,2020,U1,n.v.,DR. WERNER FREYBERG CHEMISCHE FABRIK DELITIA NACHF. GMBH & CO. KG,DR.-WERNER-FREYBERG-STR. 11,69514,Rhein-Neckar,Deutschland,49.61099,8.635135,Germany,"DR.-WERNER-FREYBERG-STR. 11, 69514, Rhein-Neckar, Deutschland"
DINOX HANDELS GMBH,SOEST,DE,4675,U1,6,AKKIM KIMYA SANAYI VE TICARET ANONIM SIRKETI,BRÜDERTOR,59494,Soest,Deutschland,51.5767013,8.102519672074472,Germany,"BRÜDERTOR, 59494, Soest, Deutschland"
DOLLYMANS STORAGE LIMITED,LONDON,GB,3511,U1,n.v.,SUN LIFE FINANCIAL INC.,4TH FLOOR 80 VICTORIA STREET,SW1E 5JL,London SW1E,Vereinigtes Königreich,51.4971667,-0.1396282,United Kingdom,"4TH FLOOR 80 VICTORIA STREET, SW1E 5JL, London SW1E, Vereinigtes Königreich"
DOLPHIN N2 LIMITED,BASILDON,GB,7112,U1,8,IVECO GROUP NV,"COMMUNICATIONS ROOM, CRANES FARM ROAD",SS14 3AD,Basildon,Vereinigtes Königreich,51.5872112,0.4986403,United Kingdom,"COMMUNICATIONS ROOM, CRANES FARM ROAD, SS14 3AD, Basildon, Vereinigtes Königreich"
DOMNICK HUNTER GROUP LIMITED,HEMEL HEMPSTEAD,GB,7010,U1,n.v.,PARKER HANNIFIN CORP,"2ND FLOOR, SUITE 2A, BREAKSPEAR PARK",HP2 4TZ,Hemel Hempstead,Vereinigtes Königreich,51.75954515,-0.440162097136261,United Kingdom,"2ND FLOOR, SUITE 2A, BREAKSPEAR PARK, HP2 4TZ, Hemel Hempstead, Vereinigtes Königreich"
DOMNICK HUNTER LIMITED,HEMEL HEMPSTEAD,GB,,U1,n.v.,PARKER HANNIFIN CORP,"2ND FLOOR, SUITE 2A, BREAKSPEAR PARK",HP2 4TZ,Hemel Hempstead,Vereinigtes Königreich,51.75954515,-0.440162097136261,United Kingdom,"2ND FLOOR, SUITE 2A, BREAKSPEAR PARK, HP2 4TZ, Hemel Hempstead, Vereinigtes Königreich"
DVGW DEUTSCHER VEREIN DES GAS- UND WASSERFACHES E.V. - TECHNISCH-WISSENSCHAFTLICHER VEREIN,BONN,DE,9411,LF,800,DVGW DEUTSCHER VEREIN DES GAS- UND WASSERFACHES E.V. - TECHNISCH-WISSENSCHAFTLICHER VEREIN,JOSEF-WIRMER-STR. 1-3,53123,Bonn,Deutschland,50.7042394,7.0571932,Germany,"JOSEF-WIRMER-STR. 1-3, 53123, Bonn, Deutschland"
EI-H2 LIMITED,CORK,IE,9609,U1,6,PEARSE FLYNN,"PENROSE 1, PENROSE DOCK",T23 KW81,Cork,Irland,-34.51614,150.778594,Ireland,"PENROSE 1, PENROSE DOCK, T23 KW81, Cork, Irland"
ELCOGEN AS,TALLINN,EE,2720,U1,n.v.,ELCOGEN GROUP PLC,VALUKOJA TN 23,11415,Harju,Estland,59.421272,24.813078,Estonia,"VALUKOJA TN 23, 11415, Harju, Estland"
ELEMENT 2 LIMITED,SKIPTON,GB,4671,U1,10,ELEMENT 2 LIMITED,"UNIT 3, ACORN BUSINESS PARK, AIREDALE BUSINESS CENTRE",BD23 2UE,Skipton,Vereinigtes Königreich,53.958125,-2.0175294463802294,United Kingdom,"UNIT 3, ACORN BUSINESS PARK, AIREDALE BUSINESS CENTRE, BD23 2UE, Skipton, Vereinigtes Königreich"
EMERALD TECHNOLOGY VENTURES AG,ZÜRICH,CH,6630,LF,15,EMERALD TECHNOLOGY VENTURES AG,BELLERIVESTRASSE 241,8008,Zürich,Schweiz,47.351226,8.560363,Switzerland,"BELLERIVESTRASSE 241, 8008, Zürich, Schweiz"
ENAPTER IMMOBILIEN GMBH,SAERBECK,DE,6820,U1,2,JAN-JUSTUS SCHMIDT,HAHNSTR. 5,48369,Berlin,Deutschland,52.1809455,7.6485581,Germany,"HAHNSTR. 5, 48369, Berlin, Deutschland"
ENERGIEPARK GREUN GMBH & CO. KG,UPLENGEN,DE,3521,LF,2,MR WOLFGANG BECKER,HOLLENER LANDSTR. 18,26670,Leer,Deutschland,53.2535807,7.705228414190689,Germany,"HOLLENER LANDSTR. 18, 26670, Leer, Deutschland"
ENERTRAG HYPHEN HOLDING GMBH,SCHENKENBERG,DE,6420,U1,n.v.,MR MUELLER JUERGEN,DAUERTHAL,17291,Uckermark,Deutschland,,,Germany,"DAUERTHAL, 17291, Uckermark, Deutschland"
ENVIRONMENTAL BIOTECH LIMITED,RUGBY,GB,8299,LF,n.v.,FRANCHISE BRANDS PLC,THE LOCKS HILLMORTON,CV21 4PP,Rugby,Vereinigtes Königreich,,,United Kingdom,"THE LOCKS HILLMORTON, CV21 4PP, Rugby, Vereinigtes Königreich"
ETABLISSEMENTS BEAUSEIGNEUR,FROIDEFONTAINE,FR,4675,NRF,42,FAMILLE SAUGIER,6 RUE ANDRE VIEILLARD,90140,Territoire de Belfort,Frankreich,47.560839,6.94122,France,"6 RUE ANDRE VIEILLARD, 90140, Territoire de Belfort, Frankreich"
EUGEN SEITZ AG,WETZIKON ZH,CH,2814,LF,160,MR FABIAN URS SEITZ,SPITALSTRASSE 204,8623,Zürich,Schweiz,47.32946,8.814597,Switzerland,"SPITALSTRASSE 204, 8623, Zürich, Schweiz"
EVERFUEL GMBH,KÖLN,DE,4730,U1,1,MR JACOB BECH KROGSGAARD,EUPENER STR. 165 RAUM1.03,50933,Köln,Deutschland,50.94647,6.889589,Germany,"EUPENER STR. 165 RAUM1.03, 50933, Köln, Deutschland"
EW EICHSFELDGAS GMBH,LEINEFELDE-WORBIS,DE,3500,U1,39,LANDKREIS EICHSFELD,HAUSENER WEG 32,37339,Eichsfeld,Deutschland,51.413525,10.365485,Germany,"HAUSENER WEG 32, 37339, Eichsfeld, Deutschland"
EXXONMOBIL EXPLORATION AND PRODUCTION (INDONESIA) B.V.,BOTLEK ROTTERDAM,NL,2014,U1,n.v.,MOBIL EXPLORATION AND PRODUCING NORT AMERICA INC,BOTLEKWEG 121 HAVENNUMMER,3197 KA,Rotterdam,Niederlande,51.870317,4.300543,Netherlands,"BOTLEKWEG 121 HAVENNUMMER, 3197 KA, Rotterdam, Niederlande"
EXXONMOBIL GUYANA REGION B.V.,BOTLEK ROTTERDAM,NL,2011,U1,n.v.,EXXON INVESTMENTS INC,BOTLEKWEG 121 HAVENNUMMER,3197 KA,Rotterdam,Niederlande,51.870317,4.300543,Netherlands,"BOTLEKWEG 121 HAVENNUMMER, 3197 KA, Rotterdam, Niederlande"
ЦЕНТРАЛЬНЫЙ ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ АВТОМОБИЛЬНЫЙ И АВТОМОТОРНЫЙ ИНСТИТУТ НАМИ,МОСКВА,RU,7219,LF,n.v.,"MINISTERSTVO PROMYSHLENNOSTI, NAUKI I TEKHNOLOGII ROSSIISKOI FEDERATSII -",УЛ. АВТОМОТОРНАЯ Д.2,125438,г.Москва,Russische Föderation,55.84630225,37.5419045345028,Russia,"УЛ. АВТОМОТОРНАЯ Д.2, 125438, г.Москва, Russische Föderation"
FLEX FUEL ENERGY DEVELOPMENT,VALBONNE,FR,7219,U1,47,FFED HLDG,"SUNDESK SOPHIA ANTIPOLIS, 930 ROUTE DES DOLINES",06560,Alpes-Maritimes,Frankreich,43.6241282,7.038190451229687,France,"SUNDESK SOPHIA ANTIPOLIS, 930 ROUTE DES DOLINES, 06560, Alpes-Maritimes, Frankreich"
FORTUM GLASGOW LIMITED,READING,GB,3511,U1,n.v.,SOUTH CLYDE ENERGY RECOVERY HOLDINGS LIMITED,"4TH FLOOR PHOENIX HOUSE, 1 STATION HILL",RG1 1NB,Reading,Vereinigtes Königreich,51.4588846,-0.9747818,United Kingdom,"4TH FLOOR PHOENIX HOUSE, 1 STATION HILL, RG1 1NB, Reading, Vereinigtes Königreich"
FP LUX SOLAR GMBH & CO. KREMPENDORF KG,MARIENFLIEß OT JÄNNERSDORF,DE,2711,U1,n.v.,FP MANAGEMENT HOLDING GMBH,JÄNNERSDORFER RING,16945,Harburg,Deutschland,53.2540819,12.159635291282394,Germany,"JÄNNERSDORFER RING, 16945, Harburg, Deutschland"
FRIEDRICH G. FROMMANN (GMBH & CO.KG),SEEVETAL,DE,4671,U1,4,,WINSENER LANDSTR. 121,21217,Harburg,Deutschland,53.4020573,10.0053015,Germany,"WINSENER LANDSTR. 121, 21217, Harburg, Deutschland"
FRUIT SECURITY GMBH,ST. RUPRECHT AN DER RAAB,AT,4690,U1,35,,BUNDESSTRAßE 278,8181,Steiermark,Österreich,47.151564,15.672567,Austria,"BUNDESSTRAßE 278, 8181, Steiermark, Österreich"
FUKUZAWA MAKINA IÇ VE DIS TICARET LIMITED SIRKETI,BAKIRKOY,TR,4299,LF,n.v.,,"BUSINESS PARK B2 BLOK, ATATÜRK BLOK N.12, YESILKÖY MAHALLESI",34149,Istanbul,Türkei,40.96455,28.816819,Turkey,"BUSINESS PARK B2 BLOK, ATATÜRK BLOK N.12, YESILKÖY MAHALLESI, 34149, Istanbul, Türkei"
FUSION FUEL GREEN PUBLIC LIMITED COMPANY,DUBLIN,IE,2011,C1,111,FUSION FUEL GREEN PUBLIC LIMITED COMPANY,"THE VICTORIANS, 15-18 EARLSFORT TERRACE, SAINT KEVIN'S",D02 YX28,Dublin,Irland,,,Ireland,"THE VICTORIANS, 15-18 EARLSFORT TERRACE, SAINT KEVIN'S, D02 YX28, Dublin, Irland"
GECHEM GMBH & CO KG,KLEINKARLBACH,DE,4675,U1,291,MRS MARTINA MARGOT NIGHSWONGER,HAUPTSTR. 4,67271,Bad Dürkheim,Deutschland,49.54015125,8.144759008629645,Germany,"HAUPTSTR. 4, 67271, Bad Dürkheim, Deutschland"
GEORG PFORR - GEFO - VERWALTUNGS-GMBH,DÜSSELDORF,DE,7010,NRLF,1,MR LOTHAR REICHELT,HOFFELDSTR. 104,40235,Düsseldorf,Deutschland,51.2265413,6.8167942,Germany,"HOFFELDSTR. 104, 40235, Düsseldorf, Deutschland"
GESELLSCHAFT FÜR WOLFRAM- INDUSTRIE MIT BESCHRÄNKTER HAFTUNG,NUßDORF,DE,2445,U1,74,FREIFRAU MARION ARIANNE VON CETTO,WOLFRAMSTRAßE,83365,Traunstein,Deutschland,47.897729,12.61968,Germany,"WOLFRAMSTRAßE, 83365, Traunstein, Deutschland"
GLOBAL ENERGY INTERCONNECTION RESEARCH INSTITUTE EUROPE GMBH,BERLIN,DE,6820,U1,27,STATE GRID SMART GRID RESEACH INSTITUTE,KANTSTR. 162,10623,Berlin,Deutschland,52.5050831,13.3323631,Germany,"KANTSTR. 162, 10623, Berlin, Deutschland"
GLOBAL ENERGY TECHNOLOGY LTD,SURBITON,GB,7219,U1,n.v.,MR DENANTES BRUNO EDOUARD MARIE,37 CRANES PARK AVENUE,KT5 8BS,Surbiton,Vereinigtes Königreich,,,United Kingdom,"37 CRANES PARK AVENUE, KT5 8BS, Surbiton, Vereinigtes Königreich"
GM BIOGAS GMBH & CO. KG,BAASDORF,DE,3511,U1,5,GUT MENNEWITZ GMBH,FELDSTR. 5,06388,Anhalt-Bitterfeld,Deutschland,51.7091997,11.9816235,Germany,"FELDSTR. 5, 06388, Anhalt-Bitterfeld, Deutschland"
GP JOULE GMBH,REUßENKÖGE,DE,7010,U1,94,GP JOULE HOLDING GMBH & CO. KG,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany,"CECILIENKOOG 16, 25821, Nordfriesland, Deutschland"
GP JOULE UTILITY GMBH,REUßENKÖGE,DE,6420,U1,4,GP JOULE HOLDING GMBH & CO. KG,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany,"CECILIENKOOG 16, 25821, Nordfriesland, Deutschland"
GREEN H2 DEVELOPMENTS PROJECT CO LTD,READING,GB,8299,U1,n.v.,GREEN H2 DEVELOPMENTS HOLD CO LTD,NO.1 FORBURY PLACE FORBURY ROAD,RG1 3JH,Reading,Vereinigtes Königreich,51.457802,-0.966423,United Kingdom,"NO.1 FORBURY PLACE FORBURY ROAD, RG1 3JH, Reading, Vereinigtes Königreich"
GREENPOWER (INTERNATIONAL) LTD.,ALLOA,GB,8299,C2,14,GREENPOWER (INTERNATIONAL) LTD.,"THE E CENTRE, COOPERAGE WAY",FK10 3LP,Alloa,Vereinigtes Königreich,,,United Kingdom,"THE E CENTRE, COOPERAGE WAY, FK10 3LP, Alloa, Vereinigtes Königreich"
GROUND ZERO GMBH,EGMATING,DE,4743,U1,16,MR KARL FELIX LAUTNER,ERLENWEG 25,85658,Ebersberg,Deutschland,48.00847765,11.788572836309392,Germany,"ERLENWEG 25, 85658, Ebersberg, Deutschland"
H2GO POWER LTD,LONDON,GB,7219,U1,22,DR ENASS ABO HAMED,"IMPERIAL WHITE CITY INCUBATOR TR, 84 WOOD LANE, WHITE CITY, LONDON, LONDON,CITY OF",W12 0BZ,London W12,Vereinigtes Königreich,,,United Kingdom,"IMPERIAL WHITE CITY INCUBATOR TR, 84 WOOD LANE, WHITE CITY, LONDON, LONDON,CITY OF, W12 0BZ, London W12, Vereinigtes Königreich"
H2TRANSITION CAPITAL LLP,LONDON,GB,,U1,n.v.,,"FLAT 5, PACIFIC WHARF, 165 ROTHERHITHE STREET",SE16 5QF,London SE16,Vereinigtes Königreich,51.50493215,-0.0470751248999932,United Kingdom,"FLAT 5, PACIFIC WHARF, 165 ROTHERHITHE STREET, SE16 5QF, London SE16, Vereinigtes Königreich"
HAIR BY HALLDIN AB,GÖTEBORG,SE,9602,LF,2,,KOMMENDÖRSGATAN 30 B,414 59,Västra Götaland,Schweden,57.6954971,11.9327401,Sweden,"KOMMENDÖRSGATAN 30 B, 414 59, Västra Götaland, Schweden"
HALBMIL BIOGAS GMBH,CHUR,CH,3521,LF,1,MR RETO CHRISTIAN MANI,DEUTSCHE STRASSE 65,7000,Graubünden,Schweiz,46.886226,9.540417,Switzerland,"DEUTSCHE STRASSE 65, 7000, Graubünden, Schweiz"
HALIAN INTERNATIONAL LIMITED,LONDON,GB,7810,U1,22,TWENTY20 CAPITAL INVESTMENTS LIMITED,33-34 SOHO SQUARE,W1D 3QU,London W1D,Vereinigtes Königreich,,,United Kingdom,"33-34 SOHO SQUARE, W1D 3QU, London W1D, Vereinigtes Königreich"
HAMBURG GREEN HYDROGEN BETEILIGUNGSGESELLSCHAFT MBH,HAMBURG,DE,7010,LF,2,"FLAVEO IV GREEN ENERGY S.C.S., SICAV-RAIF",MOORBURGER SCHANZE 2,21079,"Hamburg, Freie und Hansestadt",Deutschland,53.487492,9.949587,Germany,"MOORBURGER SCHANZE 2, 21079, Hamburg, Freie und Hansestadt, Deutschland"
HANSEATIC ENERGY HUB GMBH,HAMBURG,DE,9609,U1,n.v.,"PARTNERS GROUP HEH ACCESS 1, L.P.",AM SANDTORKAI 48,20457,"Hamburg, Freie und Hansestadt",Deutschland,53.5431866,9.9947823,Germany,"AM SANDTORKAI 48, 20457, Hamburg, Freie und Hansestadt, Deutschland"
HETHOS LIMITED,LONDON,GB,6420,U1,3,BEAM EARTH LIMITED,SALISBURY HOUSE LONDON WALL,EC2M 5PS,London EC2M,Vereinigtes Königreich,51.5171893,-0.0955453,United Kingdom,"SALISBURY HOUSE LONDON WALL, EC2M 5PS, London EC2M, Vereinigtes Königreich"
HEXAGON PURUS HOLDING GERMANY GMBH,KASSEL,DE,8299,U1,n.v.,HEXAGON PURUS ASA,HANNOVERSCHE STR. 1,34134,Kassel,Deutschland,51.2653028,9.471797218219123,Germany,"HANNOVERSCHE STR. 1, 34134, Kassel, Deutschland"
HFI ENERGY SYSTEMS LIMITED,LONDON,GB,7219,U1,n.v.,HYDROGEN FUTURE INDUSTRIES PLC,25 ECCLESTON PLACE,SW1W 9NF,London SW1W,Vereinigtes Königreich,51.4938018,-0.1481197,United Kingdom,"25 ECCLESTON PLACE, SW1W 9NF, London SW1W, Vereinigtes Königreich"
HGV GMBH,BEXBACH,DE,8299,LF,10,MR JOERG WENSKOWSKI,MÜHLENSTR.,66450,Saarpfalz,Deutschland,49.3523786,7.282927949999999,Germany,"MÜHLENSTR., 66450, Saarpfalz, Deutschland"
HOPIUM,PARIS,FR,7490,C2,6,HOPIUM,43 RUE DE LIEGE,75008,Paris,Frankreich,48.879218,2.3248498,France,"43 RUE DE LIEGE, 75008, Paris, Frankreich"
HOWITZER ACQUISITION LIMITED,UXBRIDGE,GB,6420,U1,2,KKR NORTH AMERICA FUND XIII LP,"FRAYS MILL WORKS, COWLEY ROAD",UB8 2AF,Uxbridge,Vereinigtes Königreich,51.53523,-0.4836689,United Kingdom,"FRAYS MILL WORKS, COWLEY ROAD, UB8 2AF, Uxbridge, Vereinigtes Königreich"
HTS HOCH-TEMPERATUR-SILICONPRODUKTE GMBH,KAUFBEUREN,DE,2561,U1,21,,DANIEL-KOHLER-STR. 6,87600,Augsburg,Deutschland,47.8921913,10.6568958,Germany,"DANIEL-KOHLER-STR. 6, 87600, Augsburg, Deutschland"
HYDGO PUBLIC LIMITED COMPANY,DUBLIN,IE,7219,LF,n.v.,MR PETER GERSTMANN,"9 PEMBROKE STREET UPPER, S203",D02 KR83,Dublin,Irland,53.334601,-6.254269163657945,Ireland,"9 PEMBROKE STREET UPPER, S203, D02 KR83, Dublin, Irland"
HYDROGEN FUTURE INDUSTRIES PLC,LONDON,GB,,C1,5,HYDROGEN FUTURE INDUSTRIES PLC,"ECCLESTON YARDS, 25 ECCLESTON PLACE",SW1W 9NF,London SW1W,Vereinigtes Königreich,51.4938018,-0.1481197,United Kingdom,"ECCLESTON YARDS, 25 ECCLESTON PLACE, SW1W 9NF, London SW1W, Vereinigtes Königreich"
HYDROGEN UTOPIA INTERNATIONAL PLC,LONDON,GB,8299,C1,7,HYDROGEN UTOPIA INTERNATIONAL PLC,"C/O LAYTONS LLP 3RD FLOOR PINNER, 105-108 OLD BROAD STREET",EC2N 1ER,London EC2N,Vereinigtes Königreich,51.5158564,-0.0847070366666618,United Kingdom,"C/O LAYTONS LLP 3RD FLOOR PINNER, 105-108 OLD BROAD STREET, EC2N 1ER, London EC2N, Vereinigtes Königreich"
